1,choushabi,123456,施耐庵22,1,13390909001,4,15000,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2008-01-01,55,2026-08-27 17:16:47,2029-10-20 16:35:33
2,songjiang,123456,宋江,1,13390909002,2,8600,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2015-01-01,2,2023-10-20 16:35:33,2023-10-20 16:35:33
3,lujunyi,123456,卢俊义,1,13390909003,2,8900,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2008-05-01,2,2023-10-20 16:35:33,2023-10-20 16:35:33
4,wuyong,123456,吴用,1,13390909004,2,8700,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2007-01-01,2,2023-10-20 16:35:33,2023-10-20 16:35:33
5,gongsunsheng,123456,公孙胜,1,13309900005,2,9500,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2012-12-05,2,2023-10-20 16:36:33,2023-10-20 16:36:33
6,huosanniang,123456,扈三娘,2,13309900006,3,6500,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2013-09-05,1,2023-10-20 16:36:33,2023-10-20 16:36:33
7,chaijin,123456,柴进,1,13309900007,1,4700,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2005-08-01,1,2023-10-20 16:35:33,2023-10-20 16:35:33
8,likui,123456,李逵,1,13309900008,1,4800,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2014-11-09,1,2023-10-20 16:35:33,2023-10-20 16:35:33
9,wusong,123456,武松,1,13309900009,1,4900,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2011-03-11,1,2023-10-20 16:35:33,2023-10-20 16:35:33
10,linchong,123456,林冲,1,13309900010,1,5000,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2013-09-05,1,2023-10-20 16:35:33,2023-10-20 16:35:33
11,huyanzhuo,123456,呼延灼,1,13309900011,2,9700,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2007-02-01,2,2023-10-20 16:35:33,2023-10-20 16:35:33
12,xiaoliugang,123456,小李广,1,13309900012,2,10000,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2008-08-18,2,2023-10-20 16:35:33,2023-10-20 16:35:33
13,yangzhi,123456,杨志,1,13309900013,1,5300,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2012-11-01,1,2023-10-20 16:35:33,2023-10-20 16:35:33
14,shijin,123456,史进,1,13309900014,2,16000,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2002-08-01,2,2023-10-20 16:35:33,2023-10-20 16:35:33
15,sunrenning,123456,孙二娘,2,13309900015,2,10900,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2011-05-01,2,2023-10-20 16:35:33,2023-10-20 16:35:33
16,luzhishen,123456,鲁智深,1,13309900016,2,9600,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2010-01-01,2,2023-10-20 16:35:33,2023-10-20 16:35:33
17,liying,12345678,李应,1,13309900017,1,5800,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2015-03-21,1,2023-10-20 16:35:33,2023-10-20 16:35:33
18,shiqian,123456,时迁,1,13309900018,2,10200,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2015-01-01,2,2023-10-20 16:35:33,2023-10-20 16:35:33
19,gudasao,123456,顾大嫂,2,13309900019,2,10500,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2008-01-01,2,2023-10-20 16:35:33,2023-10-20 16:35:33
20,ruanxiaoer,123456,阮小二,1,13309900020,2,10800,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2018-01-01,2,2023-10-20 16:35:33,2023-10-20 16:35:33
21,ruanxiaoqu,123456,阮小五,1,13309900021,5,5200,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2015-01-01,3,2023-10-20 16:35:33,2023-10-20 16:35:33
22,ruanxiaoqi,123456,阮小七,1,13309900022,5,5500,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2016-01-01,3,2023-10-20 16:35:33,2023-10-20 16:35:33
23,ruanjii,123456,阮籍,1,13309900023,5,5800,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2002-01-01,3,2023-10-20 16:35:33,2023-10-20 16:35:33
24,tongwei,123456,童威,1,13309900024,5,5000,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2006-01-01,3,2023-10-20 16:35:33,2023-10-20 16:35:33
25,tongmeng,123456,童猛,1,13309900025,5,4800,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2002-01-01,3,2023-10-20 16:35:33,2023-10-20 16:35:33
26,yanshun,123456,燕顺,1,13309900026,5,5400,https://p1.ssl.qhimgs1.com/sdr/400__/t01fc7901eb0dd20f17.png,2011-01-01,3,2023-10-20 16:35:33,2023-10-20 16:35:33
